,ctb_contrb,pid_contrb,var
264,-9.77251274439e-05,1,screaming
265,8.87255170922e-05,1,BBS
266,8.85753632042e-05,1,If
267,-8.45973410153e-05,1,join
268,7.66580458969e-05,1,USA
269,6.70229056365e-05,1,Darcos
270,-5.98097459763e-05,1,main
271,-4.82575085505e-05,1,A
272,-3.90242989321e-05,1,think
273,-3.86442452715e-05,1,a
274,-3.68274865476e-05,1,justification
275,-3.58580141388e-05,1,more
276,2.61711158215e-05,1,their
277,1.49480797492e-05,1,address
278,6.02748705327e-06,1,t
279,-0.0577257504954,2,Keith
280,-0.0359562775109,2,Schneider
281,-0.0347382591352,2,Re
282,-0.0345938605162,2,writes
283,-0.0325739876831,2,atheists
284,-0.0258152854168,2,California
285,-0.0225813339593,2,Corp
286,-0.0178166061374,2,atheist
287,-0.0150153607943,2,ucsb
288,-0.0150146783402,2,Dwyer
289,-0.0127030976119,2,Amusing
290,-0.0122704695315,2,mcl
291,-0.0113194541663,2,more
292,-0.0111898223823,2,Alyosha
293,-0.0111555771173,2,Other
294,-0.0107066985733,2,Bake
295,-0.0101817289283,2,higher
296,-0.00977130013773,2,Timmons
297,-0.00955278959443,2,You
298,-0.00871303892852,2,try
299,-0.0084544961389,2,No
300,-0.00839023012441,2,don
301,-0.00829292156904,2,agnostics
302,-0.00765466170435,2,Society
303,-0.00757014978402,2,post
304,-0.00754985264567,2,you
305,-0.00709463673282,2,than
306,-0.00709280176621,2,timmbake
307,-0.00682361258224,2,madhaus
308,0.00661282223729,2,whirr
309,-0.00644603069655,2,Maddi
310,-0.00595374143092,2,3553
311,-0.0057182464047,2,Remember
312,-0.00561984745346,2,408
313,0.00548508383358,2,and
314,-0.00547888996992,2,nothing
315,0.00543076634762,2,Organization
316,0.00533646897211,2,as
317,-0.00523159401088,2,Top
318,-0.00522044405874,2,edu
319,-0.00504122507648,2,wholesome
320,-0.00458778583692,2,Things
321,-0.00445561248039,2,Dostoevsky
322,-0.00393126642927,2,Brothers
323,0.0038881943304,2,should
324,-0.00367412322955,2,Hausmann
